model_name,avg_mae,std_mae,avg_r2,std_r2
CommunityDetectionCentrality,4.17368,0.0534,0.86256,0.0018
PageRank,4.155460000000001,0.03191442307170871,0.8648999999999999,0.0010079682534683489
WaveletTransform,4.1024400000000005,0.04039087025554156,0.85724,0.004466587063967298
StandardDeviation,4.09384,0.017969151343343853,0.86736,0.0003200000000000022
SGT_BetweennessCentrality,3.9692000000000007,0.04229505881305769,0.86556,0.0050002399942402805
SGT_ClosenessCentrality,4.1624799999999995,0.02412454351899758,0.8635400000000001,0.0009393614852653738
SGT_Laplacian,3.88192,0.015111770247062431,0.8747999999999999,0.0004289522117905489
