model_name,avg_mae,std_mae,avg_r2,std_r2
CommunityDetectionCentrality,4.16038,0.019481622109054485,0.8628200000000001,0.0007858753081755467
PageRank,4.13668,0.026008260226320253,0.86568,0.0008565045242145423
WaveletTransform,4.1067,0.02631387466717874,0.85516,0.0026004614975038876
StandardDeviation,4.1447,0.0618315453470152,0.86592,0.00160174904401406
SGT_BetweennessCentrality,3.95488,0.04210279800678337,0.8658999999999999,0.005320526289757406
SGT_ClosenessCentrality,4.167,0.040078972042705885,0.8630599999999999,0.0009156418513807456
SGT_Laplacian,3.87068,0.009312228519532754,0.8751599999999999,0.0007059745037889107
